community,care_level,service,monthly_income,budget_limit,theoretical_per_person,adjusted_per_person,adjustment_scale,population,adjusted_monthly_demand
F,自理,上门护理,2700.0,540.0,0.0,0.0,1.0,345.02722,0.0
F,自理,康复理疗,2700.0,540.0,2.0,2.0,1.0,345.02722,690.05444
F,自理,助浴,2700.0,540.0,0.0,0.0,1.0,345.02722,0.0
F,自理,紧急救助,2700.0,540.0,0.15,0.15,1.0,345.02722,51.754083
F,半失能,助餐,2700.0,675.0,20.0,16.423358,0.821168,101.166568,1661.49473
F,半失能,日间照料,2700.0,675.0,14.0,11.49635,0.821168,101.166568,1163.046311
F,半失能,上门护理,2700.0,675.0,6.0,4.927007,0.821168,101.166568,498.448419
F,半失能,康复理疗,2700.0,675.0,4.0,3.284672,0.821168,101.166568,332.298946
F,半失能,助浴,2700.0,675.0,2.0,1.642336,0.821168,101.166568,166.149473
F,半失能,紧急救助,2700.0,675.0,1.0,1.0,0.821168,101.166568,101.166568
F,失能,助餐,2700.0,810.0,22.0,14.751656,0.67053,74.932351,1105.376236
F,失能,日间照料,2700.0,810.0,18.0,12.069536,0.67053,74.932351,904.398738
F,失能,上门护理,2700.0,810.0,12.0,8.046358,0.67053,74.932351,602.932492
F,失能,康复理疗,2700.0,810.0,6.0,4.023179,0.67053,74.932351,301.466246
F,失能,助浴,2700.0,810.0,4.0,2.682119,0.67053,74.932351,200.977497
F,失能,紧急救助,2700.0,810.0,3.0,3.0,0.67053,74.932351,224.797053
G,自理,助餐,3600.0,720.0,14.0,14.0,1.0,626.40794,8769.711163
G,自理,日间照料,3600.0,720.0,8.0,8.0,1.0,626.40794,5011.263522
G,自理,上门护理,3600.0,720.0,0.0,0.0,1.0,626.40794,0.0
G,自理,康复理疗,3600.0,720.0,2.0,2.0,1.0,626.40794,1252.81588
G,自理,助浴,3600.0,720.0,0.0,0.0,1.0,626.40794,0.0
G,自理,紧急救助,3600.0,720.0,0.15,0.15,1.0,626.40794,93.961191
G,半失能,助餐,3600.0,900.0,20.0,20.0,1.0,184.844659,3696.893179
G,半失能,日间照料,3600.0,900.0,14.0,14.0,1.0,184.844659,2587.825225
G,半失能,上门护理,3600.0,900.0,6.0,6.0,1.0,184.844659,1109.067954
G,半失能,康复理疗,3600.0,900.0,4.0,4.0,1.0,184.844659,739.378636
G,半失能,助浴,3600.0,900.0,2.0,2.0,1.0,184.844659,369.689318
G,半失能,紧急救助,3600.0,900.0,1.0,1.0,1.0,184.844659,184.844659
G,失能,助餐,3600.0,1080.0,22.0,19.668874,0.89404,142.673215,2806.22151
G,失能,日间照料,3600.0,1080.0,18.0,16.092715,0.89404,142.673215,2295.999417
G,失能,上门护理,3600.0,1080.0,12.0,10.728477,0.89404,142.673215,1530.666278
G,失能,康复理疗,3600.0,1080.0,6.0,5.364238,0.89404,142.673215,765.333139
G,失能,助浴,3600.0,1080.0,4.0,3.576159,0.89404,142.673215,510.222093
G,失能,紧急救助,3600.0,1080.0,3.0,3.0,0.89404,142.673215,428.019644
H,自理,助餐,3000.0,600.0,14.0,14.0,1.0,413.535374,5789.495233
H,自理,日间照料,3000.0,600.0,8.0,8.0,1.0,413.535374,3308.28299
H,自理,上门护理,3000.0,600.0,0.0,0.0,1.0,413.535374,0.0
H,自理,康复理疗,3000.0,600.0,2.0,2.0,1.0,413.535374,827.070748
H,自理,助浴,3000.0,600.0,0.0,0.0,1.0,413.535374,0.0
H,自理,紧急救助,3000.0,600.0,0.15,0.15,1.0,413.535374,62.030306
H,半失能,助餐,3000.0,750.0,20.0,18.248175,0.912409,122.693835,2238.9386
H,半失能,日间照料,3000.0,750.0,14.0,12.773723,0.912409,122.693835,1567.25702
H,半失能,上门护理,3000.0,750.0,6.0,5.474453,0.912409,122.693835,671.68158
H,半失能,康复理疗,3000.0,750.0,4.0,3.649635,0.912409,122.693835,447.78772
H,半失能,助浴,3000.0,750.0,2.0,1.824818,0.912409,122.693835,223.89386
H,半失能,紧急救助,3000.0,750.0,1.0,1.0,0.912409,122.693835,122.693835
H,失能,助餐,3000.0,900.0,22.0,16.390728,0.745033,90.888687,1489.731793
H,失能,日间照料,3000.0,900.0,18.0,13.410596,0.745033,90.888687,1218.871467
H,失能,上门护理,3000.0,900.0,12.0,8.940397,0.745033,90.888687,812.580978
H,失能,康复理疗,3000.0,900.0,6.0,4.470199,0.745033,90.888687,406.290489
H,失能,助浴,3000.0,900.0,4.0,2.980132,0.745033,90.888687,270.860326
H,失能,紧急救助,3000.0,900.0,3.0,3.0,0.745033,90.888687,272.666061
I,自理,助餐,3300.0,660.0,14.0,14.0,1.0,533.424642,7467.944994
I,自理,日间照料,3300.0,660.0,8.0,8.0,1.0,533.424642,4267.39714
I,自理,上门护理,3300.0,660.0,0.0,0.0,1.0,533.424642,0.0
I,自理,康复理疗,3300.0,660.0,2.0,2.0,1.0,533.424642,1066.849285
I,自理,助浴,3300.0,660.0,0.0,0.0,1.0,533.424642,0.0
I,自理,紧急救助,3300.0,660.0,0.15,0.15,1.0,533.424642,80.013696
I,半失能,助餐,3300.0,825.0,20.0,20.0,1.0,159.452733,3189.054666
I,半失能,日间照料,3300.0,825.0,14.0,14.0,1.0,159.452733,2232.338266
I,半失能,上门护理,3300.0,825.0,6.0,6.0,1.0,159.452733,956.7164
I,半失能,康复理疗,3300.0,825.0,4.0,4.0,1.0,159.452733,637.810933
I,半失能,助浴,3300.0,825.0,2.0,2.0,1.0,159.452733,318.905467
I,半失能,紧急救助,3300.0,825.0,1.0,1.0,1.0,159.452733,159.452733
I,失能,助餐,3300.0,990.0,22.0,18.029801,0.819536,119.726095,2158.637714
I,失能,日间照料,3300.0,990.0,18.0,14.751656,0.819536,119.726095,1766.15813
I,失能,上门护理,3300.0,990.0,12.0,9.834437,0.819536,119.726095,1177.438753
I,失能,康复理疗,3300.0,990.0,6.0,4.917219,0.819536,119.726095,588.719377
I,失能,助浴,3300.0,990.0,4.0,3.278146,0.819536,119.726095,392.479584
I,失能,紧急救助,3300.0,990.0,3.0,3.0,0.819536,119.726095,359.178286
J,自理,助餐,3200.0,640.0,14.0,14.0,1.0,479.612701,6714.577809
J,自理,日间照料,3200.0,640.0,8.0,8.0,1.0,479.612701,3836.901605
J,自理,上门护理,3200.0,640.0,0.0,0.0,1.0,479.612701,0.0
J,自理,康复理疗,3200.0,640.0,2.0,2.0,1.0,479.612701,959.225401
J,自理,助浴,3200.0,640.0,0.0,0.0,1.0,479.612701,0.0
J,自理,紧急救助,3200.0,640.0,0.15,0.15,1.0,479.612701,71.941905
J,半失能,助餐,3200.0,800.0,20.0,19.46472,0.973236,140.374068,2732.341954
J,半失能,日间照料,3200.0,800.0,14.0,13.625304,0.973236,140.374068,1912.639368
J,半失能,上门护理,3200.0,800.0,6.0,5.839416,0.973236,140.374068,819.702586
J,半失能,康复理疗,3200.0,800.0,4.0,3.892944,0.973236,140.374068,546.468391
J,半失能,助浴,3200.0,800.0,2.0,1.946472,0.973236,140.374068,273.234195
J,半失能,紧急救助,3200.0,800.0,1.0,1.0,0.973236,140.374068,140.374068
J,失能,助餐,3200.0,960.0,22.0,17.483444,0.794702,104.290238,1823.352512
J,失能,日间照料,3200.0,960.0,18.0,14.304636,0.794702,104.290238,1491.833873
J,失能,上门护理,3200.0,960.0,12.0,9.536424,0.794702,104.290238,994.555916
J,失能,康复理疗,3200.0,960.0,6.0,4.768212,0.794702,104.290238,497.277958
J,失能,助浴,3200.0,960.0,4.0,3.178808,0.794702,104.290238,331.518639
J,失能,紧急救助,3200.0,960.0,3.0,3.0,0.794702,104.290238,312.870715
