community,care_level,service,theoretical_monthly_demand
F,失能,助餐,1648.511719
F,失能,日间照料,1348.782316
F,失能,上门护理,899.18821
F,失能,康复理疗,449.594105
F,失能,助浴,299.729403
F,失能,紧急救助,224.797053
G,自理,助餐,8769.711163
G,自理,日间照料,5011.263522
G,自理,上门护理,0.0
G,自理,康复理疗,1252.81588
G,自理,助浴,0.0
G,自理,紧急救助,93.961191
G,半失能,助餐,3696.893179
G,半失能,日间照料,2587.825225
G,半失能,上门护理,1109.067954
G,半失能,康复理疗,739.378636
G,半失能,助浴,369.689318
G,半失能,紧急救助,184.844659
G,失能,助餐,3138.810726
G,失能,日间照料,2568.117867
G,失能,上门护理,1712.078578
G,失能,康复理疗,856.039289
G,失能,助浴,570.692859
G,失能,紧急救助,428.019644
H,自理,助餐,5789.495233
H,自理,日间照料,3308.28299
H,自理,上门护理,0.0
H,自理,康复理疗,827.070748
H,自理,助浴,0.0
H,自理,紧急救助,62.030306
H,半失能,助餐,2453.876706
H,半失能,日间照料,1717.713694
H,半失能,上门护理,736.163012
H,半失能,康复理疗,490.775341
H,半失能,助浴,245.387671
H,半失能,紧急救助,122.693835
H,失能,助餐,1999.551117
H,失能,日间照料,1635.996369
H,失能,上门护理,1090.664246
H,失能,康复理疗,545.332123
H,失能,助浴,363.554749
H,失能,紧急救助,272.666061
I,自理,助餐,7467.944994
I,自理,日间照料,4267.39714
I,自理,上门护理,0.0
I,自理,康复理疗,1066.849285
I,自理,助浴,0.0
I,自理,紧急救助,80.013696
I,半失能,助餐,3189.054666
I,半失能,日间照料,2232.338266
I,半失能,上门护理,956.7164
I,半失能,康复理疗,637.810933
I,半失能,助浴,318.905467
I,半失能,紧急救助,159.452733
I,失能,助餐,2633.974099
I,失能,日间照料,2155.069718
I,失能,上门护理,1436.713145
I,失能,康复理疗,718.356573
I,失能,助浴,478.904382
I,失能,紧急救助,359.178286
J,自理,助餐,6714.577809
J,自理,日间照料,3836.901605
J,自理,上门护理,0.0
J,自理,康复理疗,959.225401
J,自理,助浴,0.0
J,自理,紧急救助,71.941905
J,半失能,助餐,2807.481357
J,半失能,日间照料,1965.23695
J,半失能,上门护理,842.244407
J,半失能,康复理疗,561.496271
J,半失能,助浴,280.748136
J,半失能,紧急救助,140.374068
J,失能,助餐,2294.385244
J,失能,日间照料,1877.224291
J,失能,上门护理,1251.48286
J,失能,康复理疗,625.74143
J,失能,助浴,417.160953
J,失能,紧急救助,312.870715
