community,care_level,service,monthly_income,budget_limit,theoretical_per_person,adjusted_per_person,adjustment_scale,population,adjusted_monthly_demand
B,半失能,上门护理,3100.0,775.0,6.0,5.6569,0.9428,129.373,731.8545
B,半失能,康复理疗,3100.0,775.0,4.0,3.7713,0.9428,129.373,487.903
B,半失能,助浴,3100.0,775.0,2.0,1.8856,0.9428,129.373,243.9515
B,半失能,紧急救助,3100.0,775.0,1.0,1.0,0.9428,129.373,129.373
B,失能,助餐,3100.0,930.0,22.0,16.9371,0.7699,106.3841,1801.8363
B,失能,日间照料,3100.0,930.0,18.0,13.8576,0.7699,106.3841,1474.2297
B,失能,上门护理,3100.0,930.0,12.0,9.2384,0.7699,106.3841,982.8198
B,失能,康复理疗,3100.0,930.0,6.0,4.6192,0.7699,106.3841,491.4099
B,失能,助浴,3100.0,930.0,4.0,3.0795,0.7699,106.3841,327.6066
B,失能,紧急救助,3100.0,930.0,3.0,3.0,0.7699,106.3841,319.1522
C,自理,助餐,3800.0,760.0,14.0,14.0,1.0,668.0101,9352.1417
C,自理,日间照料,3800.0,760.0,8.0,8.0,1.0,668.0101,5344.081
C,自理,上门护理,3800.0,760.0,0.0,0.0,1.0,668.0101,0.0
C,自理,康复理疗,3800.0,760.0,2.0,2.0,1.0,668.0101,1336.0202
C,自理,助浴,3800.0,760.0,0.0,0.0,1.0,668.0101,0.0
C,自理,紧急救助,3800.0,760.0,0.15,0.15,1.0,668.0101,100.2015
C,半失能,助餐,3800.0,950.0,20.0,20.0,1.0,198.6602,3973.2047
C,半失能,日间照料,3800.0,950.0,14.0,14.0,1.0,198.6602,2781.2433
C,半失能,上门护理,3800.0,950.0,6.0,6.0,1.0,198.6602,1191.9614
C,半失能,康复理疗,3800.0,950.0,4.0,4.0,1.0,198.6602,794.6409
C,半失能,助浴,3800.0,950.0,2.0,2.0,1.0,198.6602,397.3205
C,半失能,紧急救助,3800.0,950.0,1.0,1.0,1.0,198.6602,198.6602
C,失能,助餐,3800.0,1140.0,22.0,20.7616,0.9437,149.084,3095.2204
C,失能,日间照料,3800.0,1140.0,18.0,16.9868,0.9437,149.084,2532.4531
C,失能,上门护理,3800.0,1140.0,12.0,11.3245,0.9437,149.084,1688.3021
C,失能,康复理疗,3800.0,1140.0,6.0,5.6623,0.9437,149.084,844.151
C,失能,助浴,3800.0,1140.0,4.0,3.7748,0.9437,149.084,562.7674
C,失能,紧急救助,3800.0,1140.0,3.0,3.0,0.9437,149.084,447.2519
D,自理,助餐,2900.0,580.0,14.0,14.0,1.0,391.4911,5480.8748
D,自理,日间照料,2900.0,580.0,8.0,8.0,1.0,391.4911,3131.9284
D,自理,上门护理,2900.0,580.0,0.0,0.0,1.0,391.4911,0.0
D,自理,康复理疗,2900.0,580.0,2.0,2.0,1.0,391.4911,782.9821
D,自理,助浴,2900.0,580.0,0.0,0.0,1.0,391.4911,0.0
D,自理,紧急救助,2900.0,580.0,0.15,0.15,1.0,391.4911,58.7237
D,半失能,助餐,2900.0,725.0,20.0,17.6399,0.882,115.3657,2035.0389
D,半失能,日间照料,2900.0,725.0,14.0,12.3479,0.882,115.3657,1424.5272
D,半失能,上门护理,2900.0,725.0,6.0,5.292,0.882,115.3657,610.5117
D,半失能,康复理疗,2900.0,725.0,4.0,3.528,0.882,115.3657,407.0078
D,半失能,助浴,2900.0,725.0,2.0,1.764,0.882,115.3657,203.5039
D,半失能,紧急救助,2900.0,725.0,1.0,1.0,0.882,115.3657,115.3657
D,失能,助餐,2900.0,870.0,22.0,15.8444,0.7202,93.7632,1485.6197
D,失能,日间照料,2900.0,870.0,18.0,12.9636,0.7202,93.7632,1215.507
D,失能,上门护理,2900.0,870.0,12.0,8.6424,0.7202,93.7632,810.338
D,失能,康复理疗,2900.0,870.0,6.0,4.3212,0.7202,93.7632,405.169
D,失能,助浴,2900.0,870.0,4.0,2.8808,0.7202,93.7632,270.1127
D,失能,紧急救助,2900.0,870.0,3.0,3.0,0.7202,93.7632,281.2897
E,自理,助餐,3500.0,700.0,14.0,14.0,1.0,567.6787,7947.5021
E,自理,日间照料,3500.0,700.0,8.0,8.0,1.0,567.6787,4541.4298
E,自理,上门护理,3500.0,700.0,0.0,0.0,1.0,567.6787,0.0
E,自理,康复理疗,3500.0,700.0,2.0,2.0,1.0,567.6787,1135.3574
E,自理,助浴,3500.0,700.0,0.0,0.0,1.0,567.6787,0.0
E,自理,紧急救助,3500.0,700.0,0.15,0.15,1.0,567.6787,85.1518
E,半失能,助餐,3500.0,875.0,20.0,20.0,1.0,168.3887,3367.7745
E,半失能,日间照料,3500.0,875.0,14.0,14.0,1.0,168.3887,2357.4422
E,半失能,上门护理,3500.0,875.0,6.0,6.0,1.0,168.3887,1010.3324
E,半失能,康复理疗,3500.0,875.0,4.0,4.0,1.0,168.3887,673.5549
E,半失能,助浴,3500.0,875.0,2.0,2.0,1.0,168.3887,336.7775
E,半失能,紧急救助,3500.0,875.0,1.0,1.0,1.0,168.3887,168.3887
E,失能,助餐,3500.0,1050.0,22.0,19.1225,0.8692,129.5319,2476.976
E,失能,日间照料,3500.0,1050.0,18.0,15.6457,0.8692,129.5319,2026.6167
E,失能,上门护理,3500.0,1050.0,12.0,10.4305,0.8692,129.5319,1351.0778
E,失能,康复理疗,3500.0,1050.0,6.0,5.2152,0.8692,129.5319,675.5389
E,失能,助浴,3500.0,1050.0,4.0,3.4768,0.8692,129.5319,450.3593
E,失能,紧急救助,3500.0,1050.0,3.0,3.0,0.8692,129.5319,388.5957
F,自理,助餐,2700.0,540.0,14.0,14.0,1.0,345.0272,4830.3811
F,自理,日间照料,2700.0,540.0,8.0,8.0,1.0,345.0272,2760.2178
F,自理,上门护理,2700.0,540.0,0.0,0.0,1.0,345.0272,0.0
F,自理,康复理疗,2700.0,540.0,2.0,2.0,1.0,345.0272,690.0544
F,自理,助浴,2700.0,540.0,0.0,0.0,1.0,345.0272,0.0
F,自理,紧急救助,2700.0,540.0,0.15,0.15,1.0,345.0272,51.7541
F,半失能,助餐,2700.0,675.0,20.0,16.4234,0.8212,101.1666,1661.4947
F,半失能,日间照料,2700.0,675.0,14.0,11.4964,0.8212,101.1666,1163.0463
F,半失能,上门护理,2700.0,675.0,6.0,4.927,0.8212,101.1666,498.4484
F,半失能,康复理疗,2700.0,675.0,4.0,3.2847,0.8212,101.1666,332.2989
F,半失能,助浴,2700.0,675.0,2.0,1.6423,0.8212,101.1666,166.1495
F,半失能,紧急救助,2700.0,675.0,1.0,1.0,0.8212,101.1666,101.1666
F,失能,助餐,2700.0,810.0,22.0,14.7517,0.6705,74.9324,1105.3762
F,失能,日间照料,2700.0,810.0,18.0,12.0695,0.6705,74.9324,904.3987
F,失能,上门护理,2700.0,810.0,12.0,8.0464,0.6705,74.9324,602.9325
F,失能,康复理疗,2700.0,810.0,6.0,4.0232,0.6705,74.9324,301.4662
F,失能,助浴,2700.0,810.0,4.0,2.6821,0.6705,74.9324,200.9775
F,失能,紧急救助,2700.0,810.0,3.0,3.0,0.6705,74.9324,224.7971
G,自理,助餐,3600.0,720.0,14.0,14.0,1.0,626.4079,8769.7112
G,自理,日间照料,3600.0,720.0,8.0,8.0,1.0,626.4079,5011.2635
G,自理,上门护理,3600.0,720.0,0.0,0.0,1.0,626.4079,0.0
G,自理,康复理疗,3600.0,720.0,2.0,2.0,1.0,626.4079,1252.8159
G,自理,助浴,3600.0,720.0,0.0,0.0,1.0,626.4079,0.0
G,自理,紧急救助,3600.0,720.0,0.15,0.15,1.0,626.4079,93.9612
G,半失能,助餐,3600.0,900.0,20.0,20.0,1.0,184.8447,3696.8932
G,半失能,日间照料,3600.0,900.0,14.0,14.0,1.0,184.8447,2587.8252
G,半失能,上门护理,3600.0,900.0,6.0,6.0,1.0,184.8447,1109.068
G,半失能,康复理疗,3600.0,900.0,4.0,4.0,1.0,184.8447,739.3786
G,半失能,助浴,3600.0,900.0,2.0,2.0,1.0,184.8447,369.6893
G,半失能,紧急救助,3600.0,900.0,1.0,1.0,1.0,184.8447,184.8447
G,失能,助餐,3600.0,1080.0,22.0,19.6689,0.894,142.6732,2806.2215
G,失能,日间照料,3600.0,1080.0,18.0,16.0927,0.894,142.6732,2295.9994
G,失能,上门护理,3600.0,1080.0,12.0,10.7285,0.894,142.6732,1530.6663
G,失能,康复理疗,3600.0,1080.0,6.0,5.3642,0.894,142.6732,765.3331
G,失能,助浴,3600.0,1080.0,4.0,3.5762,0.894,142.6732,510.2221
G,失能,紧急救助,3600.0,1080.0,3.0,3.0,0.894,142.6732,428.0196
H,自理,助餐,3000.0,600.0,14.0,14.0,1.0,413.5354,5789.4952
H,自理,日间照料,3000.0,600.0,8.0,8.0,1.0,413.5354,3308.283
H,自理,上门护理,3000.0,600.0,0.0,0.0,1.0,413.5354,0.0
H,自理,康复理疗,3000.0,600.0,2.0,2.0,1.0,413.5354,827.0707
H,自理,助浴,3000.0,600.0,0.0,0.0,1.0,413.5354,0.0
H,自理,紧急救助,3000.0,600.0,0.15,0.15,1.0,413.5354,62.0303
H,半失能,助餐,3000.0,750.0,20.0,18.2482,0.9124,122.6938,2238.9386
H,半失能,日间照料,3000.0,750.0,14.0,12.7737,0.9124,122.6938,1567.257
H,半失能,上门护理,3000.0,750.0,6.0,5.4745,0.9124,122.6938,671.6816
H,半失能,康复理疗,3000.0,750.0,4.0,3.6496,0.9124,122.6938,447.7877
H,半失能,助浴,3000.0,750.0,2.0,1.8248,0.9124,122.6938,223.8939
H,半失能,紧急救助,3000.0,750.0,1.0,1.0,0.9124,122.6938,122.6938
H,失能,助餐,3000.0,900.0,22.0,16.3907,0.745,90.8887,1489.7318
H,失能,日间照料,3000.0,900.0,18.0,13.4106,0.745,90.8887,1218.8715
H,失能,上门护理,3000.0,900.0,12.0,8.9404,0.745,90.8887,812.581
H,失能,康复理疗,3000.0,900.0,6.0,4.4702,0.745,90.8887,406.2905
H,失能,助浴,3000.0,900.0,4.0,2.9801,0.745,90.8887,270.8603
H,失能,紧急救助,3000.0,900.0,3.0,3.0,0.745,90.8887,272.6661
I,自理,助餐,3300.0,660.0,14.0,14.0,1.0,533.4246,7467.945
I,自理,日间照料,3300.0,660.0,8.0,8.0,1.0,533.4246,4267.3971
I,自理,上门护理,3300.0,660.0,0.0,0.0,1.0,533.4246,0.0
I,自理,康复理疗,3300.0,660.0,2.0,2.0,1.0,533.4246,1066.8493
I,自理,助浴,3300.0,660.0,0.0,0.0,1.0,533.4246,0.0
I,自理,紧急救助,3300.0,660.0,0.15,0.15,1.0,533.4246,80.0137
I,半失能,助餐,3300.0,825.0,20.0,20.0,1.0,159.4527,3189.0547
I,半失能,日间照料,3300.0,825.0,14.0,14.0,1.0,159.4527,2232.3383
I,半失能,上门护理,3300.0,825.0,6.0,6.0,1.0,159.4527,956.7164
I,半失能,康复理疗,3300.0,825.0,4.0,4.0,1.0,159.4527,637.8109
I,半失能,助浴,3300.0,825.0,2.0,2.0,1.0,159.4527,318.9055
I,半失能,紧急救助,3300.0,825.0,1.0,1.0,1.0,159.4527,159.4527
I,失能,助餐,3300.0,990.0,22.0,18.0298,0.8195,119.7261,2158.6377
I,失能,日间照料,3300.0,990.0,18.0,14.7517,0.8195,119.7261,1766.1581
I,失能,上门护理,3300.0,990.0,12.0,9.8344,0.8195,119.7261,1177.4388
I,失能,康复理疗,3300.0,990.0,6.0,4.9172,0.8195,119.7261,588.7194
I,失能,助浴,3300.0,990.0,4.0,3.2781,0.8195,119.7261,392.4796
I,失能,紧急救助,3300.0,990.0,3.0,3.0,0.8195,119.7261,359.1783
J,自理,助餐,3200.0,640.0,14.0,14.0,1.0,479.6127,6714.5778
J,自理,日间照料,3200.0,640.0,8.0,8.0,1.0,479.6127,3836.9016
J,自理,上门护理,3200.0,640.0,0.0,0.0,1.0,479.6127,0.0
J,自理,康复理疗,3200.0,640.0,2.0,2.0,1.0,479.6127,959.2254
J,自理,助浴,3200.0,640.0,0.0,0.0,1.0,479.6127,0.0
J,自理,紧急救助,3200.0,640.0,0.15,0.15,1.0,479.6127,71.9419
J,半失能,助餐,3200.0,800.0,20.0,19.4647,0.9732,140.3741,2732.342
J,半失能,日间照料,3200.0,800.0,14.0,13.6253,0.9732,140.3741,1912.6394
J,半失能,上门护理,3200.0,800.0,6.0,5.8394,0.9732,140.3741,819.7026
J,半失能,康复理疗,3200.0,800.0,4.0,3.8929,0.9732,140.3741,546.4684
J,半失能,助浴,3200.0,800.0,2.0,1.9465,0.9732,140.3741,273.2342
J,半失能,紧急救助,3200.0,800.0,1.0,1.0,0.9732,140.3741,140.3741
J,失能,助餐,3200.0,960.0,22.0,17.4834,0.7947,104.2902,1823.3525
J,失能,日间照料,3200.0,960.0,18.0,14.3046,0.7947,104.2902,1491.8339
J,失能,上门护理,3200.0,960.0,12.0,9.5364,0.7947,104.2902,994.5559
J,失能,康复理疗,3200.0,960.0,6.0,4.7682,0.7947,104.2902,497.278
J,失能,助浴,3200.0,960.0,4.0,3.1788,0.7947,104.2902,331.5186
J,失能,紧急救助,3200.0,960.0,3.0,3.0,0.7947,104.2902,312.8707
