scheme_label,scheme_code,scheme_detail,station_count,build_cost_wan,served_population_coverage,weighted_served_population_coverage,served_demand_coverage,average_service_access_performance,minimum_service_access_performance,capacity_safety_rate,max_station_utilization,annual_net_profit_after_policy_subsidy,profit_compliant
pareto_17,3010200000,A-大型;C-小型;E-中型,3,95.0,0.728206,0.728206,0.726529,0.619941,0.449791,0.0,1.0,-175799.3,0
pareto_18,3000003000,A-大型;G-大型,2,90.0,0.728194,0.728194,0.726529,0.61975,0.476048,0.0,1.0,35480.74,0
pareto_19,0000102013,E-小型;G-中型;I-小型;J-大型,4,113.0,0.728014,0.728014,0.726529,0.719537,0.628134,0.25,1.0,3996522.0,0
pareto_20,0300102010,B-大型;E-小型;G-中型;I-小型,4,113.0,0.728014,0.728014,0.726529,0.715643,0.628134,0.25,1.0,3804629.83,0
pareto_21,0000102310,E-小型;G-中型;H-大型;I-小型,4,113.0,0.728014,0.728014,0.726529,0.714171,0.628134,0.25,1.0,3731161.27,0
pareto_22,0001102300,D-小型;E-小型;G-中型;H-大型,4,113.0,0.728014,0.728014,0.726529,0.714171,0.628134,0.25,1.0,3731161.27,0
pareto_23,0003102010,D-大型;E-小型;G-中型;I-小型,4,113.0,0.728014,0.728014,0.726529,0.712615,0.628134,0.25,1.0,3654567.64,0
pareto_24,0000102003,E-小型;G-中型;J-大型,3,95.0,0.728014,0.728014,0.726529,0.632354,0.551219,0.0,1.0,433636.74,0
pareto_25,0300102000,B-大型;E-小型;G-中型,3,95.0,0.728014,0.728014,0.726529,0.62846,0.551219,0.0,1.0,241744.57,0
pareto_26,0000102300,E-小型;G-中型;H-大型,3,95.0,0.728014,0.728014,0.726529,0.626988,0.551219,0.0,1.0,168276.01,0
pareto_27,0003102000,D-大型;E-小型;G-中型,3,95.0,0.728014,0.728014,0.726529,0.625432,0.551219,0.0,1.0,91682.38,0
pareto_28,0000003013,G-大型;I-小型;J-大型,3,108.0,0.727839,0.727839,0.726529,0.717989,0.638213,0.333333,1.0,4141653.27,0
pareto_29,0100003003,B-小型;G-大型;J-大型,3,108.0,0.727839,0.727839,0.726529,0.717989,0.638213,0.333333,1.0,4141653.27,0
pareto_30,0300003010,B-大型;G-大型;I-小型,3,108.0,0.727839,0.727839,0.726529,0.714095,0.638213,0.333333,1.0,3949761.1,0
pareto_31,0000003310,G-大型;H-大型;I-小型,3,108.0,0.727839,0.727839,0.726529,0.712623,0.638213,0.333333,1.0,3876292.54,0
pareto_32,0001003300,D-小型;G-大型;H-大型,3,108.0,0.727839,0.727839,0.726529,0.712623,0.638213,0.333333,1.0,3876292.54,0
pareto_33,0003003010,D-大型;G-大型;I-小型,3,108.0,0.727839,0.727839,0.726529,0.711067,0.638213,0.333333,1.0,3799698.91,0
pareto_34,0000003003,G-大型;J-大型,2,90.0,0.727839,0.727839,0.726529,0.630806,0.560064,0.0,1.0,578610.49,1
pareto_35,0300003000,B-大型;G-大型,2,90.0,0.727839,0.727839,0.726529,0.626912,0.560064,0.0,1.0,386718.32,1
pareto_36,0000003300,G-大型;H-大型,2,90.0,0.727839,0.727839,0.726529,0.62544,0.560064,0.0,1.0,313249.76,1
pareto_37,0003003000,D-大型;G-大型,2,90.0,0.727839,0.727839,0.726529,0.623884,0.560064,0.0,1.0,236656.13,1
pareto_38,0000300013,E-大型;I-小型;J-大型,3,108.0,0.725542,0.725542,0.726529,0.713955,0.646751,0.333333,1.0,3946222.21,0
pareto_39,0100300003,B-小型;E-大型;J-大型,3,108.0,0.725542,0.725542,0.726529,0.713955,0.646751,0.333333,1.0,3946222.21,0
pareto_40,0130000003,B-小型;C-大型;J-大型,3,108.0,0.725542,0.725542,0.726529,0.711824,0.646751,0.333333,1.0,3844160.71,0
pareto_41,0000300003,E-大型;J-大型,2,90.0,0.725542,0.725542,0.726529,0.626771,0.567557,0.0,1.0,380946.46,1
pareto_42,0030000003,C-大型;J-大型,2,90.0,0.725542,0.725542,0.726529,0.624641,0.567557,0.0,1.0,278884.97,0
pareto_43,2000010030,A-中型;F-小型;I-大型,3,95.0,0.67695,0.67695,0.676671,0.579703,0.48033,0.333333,1.0,-161300.08,0
pareto_44,1100010103,A-小型;B-小型;F-小型;H-小型;J-大型,5,117.0,0.656019,0.656019,0.65221,0.628987,0.493687,0.4,1.0,2250403.56,0
pareto_45,0302010100,B-大型;D-中型;F-小型;H-小型,4,113.0,0.650804,0.650804,0.650269,0.635076,0.383113,0.5,1.0,2890622.28,0
pareto_46,0301200100,B-大型;D-小型;E-中型;H-小型,4,113.0,0.650214,0.650214,0.650269,0.638186,0.450452,0.5,1.0,3046974.17,0
pareto_47,0321000100,B-大型;C-中型;D-小型;H-小型,4,113.0,0.650214,0.650214,0.650269,0.636765,0.450452,0.5,1.0,2978933.17,0
pareto_48,0303000100,B-大型;D-大型;H-小型,3,108.0,0.647403,0.647403,0.650269,0.628705,0.0,0.666667,1.0,2802974.24,0
pareto_49,0000101003,E-小型;G-小型;J-大型,3,81.0,0.610356,0.610356,0.605441,0.527386,0.27561,0.0,1.0,267967.89,0
pareto_50,0300101000,B-大型;E-小型;G-小型,3,81.0,0.610356,0.610356,0.605441,0.523492,0.27561,0.0,1.0,76075.71,0
pareto_51,0000101300,E-小型;G-小型;H-大型,3,81.0,0.610356,0.610356,0.605441,0.52202,0.27561,0.0,1.0,2607.15,0
pareto_52,0003101000,D-大型;E-小型;G-小型,3,81.0,0.610356,0.610356,0.605441,0.520464,0.27561,0.0,1.0,-73986.48,0
pareto_53,0112010000,B-小型;C-小型;D-中型;F-小型,4,86.0,0.608815,0.608815,0.605441,0.525844,0.35018,0.0,1.0,-29068.62,0
pareto_54,0000002003,G-中型;J-大型,2,77.0,0.60842,0.60842,0.605441,0.526106,0.373376,0.0,1.0,427422.35,1
pareto_55,0300002000,B-大型;G-中型,2,77.0,0.60842,0.60842,0.605441,0.522212,0.373376,0.0,1.0,235530.18,1
pareto_56,0000002300,G-中型;H-大型,2,77.0,0.60842,0.60842,0.605441,0.52074,0.373376,0.0,1.0,162061.62,1
pareto_57,0003002000,D-大型;G-中型,2,77.0,0.60842,0.60842,0.605441,0.519185,0.373376,0.0,1.0,85467.99,1
pareto_58,0010010102,C-小型;F-小型;H-小型;J-中型,4,86.0,0.608348,0.608348,0.605441,0.527435,0.386276,0.0,1.0,50073.88,0
pareto_59,0011010002,C-小型;D-小型;F-小型;J-中型,4,86.0,0.608348,0.608348,0.605441,0.527435,0.386276,0.0,1.0,50073.88,0
pareto_60,0010010003,C-小型;F-小型;J-大型,3,81.0,0.607521,0.607521,0.605441,0.526237,0.386276,0.0,1.0,213668.05,0
pareto_61,0013010000,C-小型;D-大型;F-小型,3,81.0,0.607521,0.607521,0.605441,0.520676,0.386276,0.0,1.0,-61038.09,0
pareto_62,0100210102,B-小型;E-中型;F-小型;H-小型;J-中型,5,118.0,0.607076,0.607076,0.605441,0.596987,0.511764,0.4,1.0,2225431.76,0
pareto_63,0101210002,B-小型;D-小型;E-中型;F-小型;J-中型,5,118.0,0.607076,0.607076,0.605441,0.596987,0.511764,0.4,1.0,2225431.76,0
pareto_64,0100200102,B-小型;E-中型;H-小型;J-中型,4,100.0,0.607076,0.607076,0.605441,0.591901,0.500452,0.25,1.0,2712771.33,0
pareto_65,0101200002,B-小型;D-小型;E-中型;J-中型,4,100.0,0.607076,0.607076,0.605441,0.591901,0.500452,0.25,1.0,2712771.33,0
pareto_66,0000200102,E-中型;H-小型;J-中型,3,82.0,0.607076,0.607076,0.605441,0.524334,0.447121,0.0,1.0,118836.33,0
pareto_67,0001200002,D-小型;E-中型;J-中型,3,82.0,0.607076,0.607076,0.605441,0.524334,0.447121,0.0,1.0,118836.33,0
pareto_68,1000002020,A-小型;G-中型;I-中型,3,82.0,0.606358,0.606358,0.605441,0.521596,0.463281,0.0,1.0,-13024.32,0
pareto_69,0000210013,E-中型;F-小型;I-小型;J-大型,4,113.0,0.606249,0.606249,0.605441,0.595788,0.511764,0.5,1.0,2389676.44,0
pareto_70,0000210103,E-中型;F-小型;H-小型;J-大型,4,113.0,0.606249,0.606249,0.605441,0.595788,0.511764,0.5,1.0,2389676.44,0
pareto_71,0001200103,D-小型;E-中型;H-小型;J-大型,4,113.0,0.606249,0.606249,0.605441,0.595788,0.511764,0.5,1.0,2389676.44,0
pareto_72,0001210003,D-小型;E-中型;F-小型;J-大型,4,113.0,0.606249,0.606249,0.605441,0.595788,0.511764,0.5,1.0,2389676.44,0
pareto_73,0010200013,C-小型;E-中型;I-小型;J-大型,4,113.0,0.606249,0.606249,0.605441,0.595788,0.511764,0.5,1.0,2389676.44,0
pareto_74,0100200013,B-小型;E-中型;I-小型;J-大型,4,113.0,0.606249,0.606249,0.605441,0.595788,0.511764,0.5,1.0,2389676.44,0
pareto_75,0100210003,B-小型;E-中型;F-小型;J-大型,4,113.0,0.606249,0.606249,0.605441,0.595788,0.511764,0.5,1.0,2389676.44,0
pareto_76,1000210003,A-小型;E-中型;F-小型;J-大型,4,113.0,0.606249,0.606249,0.605441,0.595788,0.511764,0.5,1.0,2389676.44,0
pareto_77,0100002003,B-小型;G-中型;J-大型,3,95.0,0.606249,0.606249,0.605441,0.593099,0.516613,0.333333,1.0,2996185.61,0
pareto_78,0003210010,D-大型;E-中型;F-小型;I-小型,4,113.0,0.606249,0.606249,0.605441,0.590228,0.511764,0.5,1.0,2114970.3,0
pareto_79,0013200010,C-小型;D-大型;E-中型;I-小型,4,113.0,0.606249,0.606249,0.605441,0.590228,0.511764,0.5,1.0,2114970.3,0
pareto_80,1003210000,A-小型;D-大型;E-中型;F-小型,4,113.0,0.606249,0.606249,0.605441,0.590228,0.511764,0.5,1.0,2114970.3,0
pareto_81,0000200003,E-中型;J-大型,2,77.0,0.606249,0.606249,0.605441,0.523135,0.447121,0.0,1.0,282430.5,0
pareto_82,0003200000,D-大型;E-中型,2,77.0,0.606249,0.606249,0.605441,0.517575,0.447121,0.0,1.0,7724.37,0
pareto_83,2000003000,A-中型;G-大型,2,77.0,0.605788,0.605788,0.605441,0.517366,0.476048,0.0,1.0,1169.61,0
pareto_84,1000010030,A-小型;F-小型;I-大型,3,81.0,0.605724,0.605724,0.605441,0.518639,0.48033,0.0,1.0,-159585.73,0
pareto_85,0001102102,D-小型;E-小型;G-中型;H-小型;J-中型,5,118.0,0.60482,0.60482,0.605441,0.599437,0.536717,0.4,1.0,2352611.6,0
pareto_86,0100102012,B-小型;E-小型;G-中型;I-小型;J-中型,5,118.0,0.60482,0.60482,0.605441,0.599437,0.536717,0.4,1.0,2352611.6,0
pareto_87,0100112002,B-小型;E-小型;F-小型;G-中型;J-中型,5,118.0,0.60482,0.60482,0.605441,0.599437,0.536717,0.4,1.0,2352611.6,0
pareto_88,1000102012,A-小型;E-小型;G-中型;I-小型;J-中型,5,118.0,0.60482,0.60482,0.605441,0.599437,0.536717,0.4,1.0,2352611.6,0
pareto_89,0200102010,B-中型;E-小型;G-中型;I-小型,4,100.0,0.60482,0.60482,0.605441,0.596841,0.520287,0.25,1.0,2963683.48,0
pareto_90,0001010122,D-小型;F-小型;H-小型;I-中型;J-中型,5,118.0,0.60482,0.60482,0.605441,0.595745,0.536717,0.4,1.0,2168258.85,0
pareto_91,0001003102,D-小型;G-大型;H-小型;J-中型,4,113.0,0.604644,0.604644,0.605441,0.597889,0.536717,0.5,1.0,2497742.87,0
pareto_92,0100003012,B-小型;G-大型;I-小型;J-中型,4,113.0,0.604644,0.604644,0.605441,0.597889,0.536717,0.5,1.0,2497742.87,0
pareto_93,0100013002,B-小型;F-小型;G-大型;J-中型,4,113.0,0.604644,0.604644,0.605441,0.597889,0.536717,0.5,1.0,2497742.87,0
pareto_94,0100103002,B-小型;E-小型;G-大型;J-中型,4,113.0,0.604644,0.604644,0.605441,0.597889,0.536717,0.5,1.0,2497742.87,0
pareto_95,1000003012,A-小型;G-大型;I-小型;J-中型,4,113.0,0.604644,0.604644,0.605441,0.597889,0.536717,0.5,1.0,2497742.87,0
pareto_96,0100003002,B-小型;G-大型;J-中型,3,95.0,0.604644,0.604644,0.605441,0.597889,0.536717,0.333333,1.0,3236742.87,0
pareto_97,0001000132,D-小型;H-小型;I-大型;J-中型,4,113.0,0.604644,0.604644,0.605441,0.592418,0.536717,0.5,1.0,2228099.13,0
pareto_98,0100010032,B-小型;F-小型;I-大型;J-中型,4,113.0,0.604644,0.604644,0.605441,0.592418,0.536717,0.5,1.0,2228099.13,0
pareto_99,0100000032,B-小型;I-大型;J-中型,3,95.0,0.604644,0.604644,0.605441,0.592418,0.536717,0.333333,1.0,2967099.13,0
pareto_100,1200001201,A-小型;B-中型;G-小型;H-中型;J-小型,5,118.0,0.569302,0.569302,0.563281,0.561423,0.212738,0.6,1.0,2520715.41,0
pareto_101,2000010020,A-中型;F-小型;I-中型,3,82.0,0.556442,0.556442,0.555582,0.476419,0.32022,0.333333,1.0,-241223.4,0
pareto_102,0000310012,E-大型;F-小型;I-小型;J-中型,4,113.0,0.555577,0.555577,0.555582,0.515564,0.413781,0.75,1.0,436908.6,0
pareto_103,0000300012,E-大型;I-小型;J-中型,3,95.0,0.555577,0.555577,0.555582,0.515564,0.413781,0.666667,1.0,1175908.6,0
pareto_104,0000310002,E-大型;F-小型;J-中型,3,95.0,0.555577,0.555577,0.555582,0.515564,0.413781,0.666667,1.0,1175908.6,0
pareto_105,2000310000,A-中型;E-大型;F-小型,3,95.0,0.555577,0.555577,0.555582,0.513292,0.413781,0.666667,1.0,1064052.06,0
pareto_106,0200310000,B-中型;E-大型;F-小型,3,95.0,0.555577,0.555577,0.555582,0.512417,0.413781,0.666667,1.0,1020442.27,0
pareto_107,0000310210,E-大型;F-小型;H-中型;I-小型,4,113.0,0.555577,0.555577,0.555582,0.507521,0.413781,0.75,1.0,39775.63,0
pareto_108,0002310010,D-中型;E-大型;F-小型;I-小型,4,113.0,0.555577,0.555577,0.555582,0.507521,0.413781,0.75,1.0,39775.63,0
pareto_109,0000300210,E-大型;H-中型;I-小型,3,95.0,0.555577,0.555577,0.555582,0.507521,0.413781,0.666667,1.0,778775.63,0
pareto_110,0000310200,E-大型;F-小型;H-中型,3,95.0,0.555577,0.555577,0.555582,0.507521,0.413781,0.666667,1.0,778775.63,0
pareto_111,0002300010,D-中型;E-大型;I-小型,3,95.0,0.555577,0.555577,0.555582,0.507521,0.413781,0.666667,1.0,778775.63,0
pareto_112,0002310000,D-中型;E-大型;F-小型,3,95.0,0.555577,0.555577,0.555582,0.507521,0.413781,0.666667,1.0,778775.63,0
pareto_113,2000000030,A-中型;I-大型,2,77.0,0.555577,0.555577,0.555582,0.473591,0.359809,0.5,1.0,-156826.69,0
pareto_114,0100010103,B-小型;F-小型;H-小型;J-大型,4,99.0,0.552565,0.552565,0.547298,0.525203,0.427444,0.5,1.0,1715399.19,0
pareto_115,0000001003,G-小型;J-大型,2,63.0,0.489001,0.489001,0.484353,0.421407,0.186688,0.0,1.0,276734.22,0
pareto_116,0300001000,B-大型;G-小型,2,63.0,0.489001,0.489001,0.484353,0.417513,0.186688,0.0,1.0,84842.05,0
pareto_117,0000001300,G-小型;H-大型,2,63.0,0.489001,0.489001,0.484353,0.416041,0.186688,0.0,1.0,11373.49,0
pareto_118,0003001000,D-大型;G-小型,2,63.0,0.489001,0.489001,0.484353,0.414485,0.186688,0.0,1.0,-65220.14,0
pareto_119,0000101101,E-小型;G-小型;H-小型;J-小型,4,72.0,0.488637,0.488637,0.484353,0.422908,0.27561,0.0,1.0,-90791.28,0
pareto_120,0001101001,D-小型;E-小型;G-小型;J-小型,4,72.0,0.488637,0.488637,0.484353,0.422908,0.27561,0.0,1.0,-90791.28,0
pareto_121,0100101100,B-小型;E-小型;G-小型;H-小型,4,72.0,0.488637,0.488637,0.484353,0.42158,0.27561,0.0,1.0,-156383.15,0
pareto_122,0101101000,B-小型;D-小型;E-小型;G-小型,4,72.0,0.488637,0.488637,0.484353,0.42158,0.27561,0.0,1.0,-156383.15,0
pareto_123,0102100000,B-小型;D-中型;E-小型,3,68.0,0.488251,0.488251,0.484353,0.419106,0.22356,0.0,1.0,-58322.12,0
pareto_124,0100010200,B-小型;F-小型;H-中型,3,68.0,0.487939,0.487939,0.484353,0.414664,0.226959,0.0,1.0,-278112.15,0
pareto_125,0000101002,E-小型;G-小型;J-中型,3,68.0,0.487162,0.487162,0.484353,0.421817,0.27561,0.0,1.0,78285.86,0
pareto_126,0200101000,B-中型;E-小型;G-小型,3,68.0,0.487162,0.487162,0.484353,0.419221,0.27561,0.0,1.0,-49642.26,0
pareto_127,0000101200,E-小型;G-小型;H-中型,3,68.0,0.487162,0.487162,0.484353,0.418239,0.27561,0.0,1.0,-98621.3,0
pareto_128,0002101000,D-中型;E-小型;G-小型,3,68.0,0.487162,0.487162,0.484353,0.417202,0.27561,0.0,1.0,-149683.72,0
pareto_129,0000100003,E-小型;J-大型,2,63.0,0.486957,0.486957,0.484353,0.419499,0.22356,0.0,1.0,184414.54,0
pareto_130,0003100000,D-大型;E-小型,2,63.0,0.486957,0.486957,0.484353,0.413938,0.22356,0.0,1.0,-90291.59,0
pareto_131,0000002101,G-中型;H-小型;J-小型,3,68.0,0.486701,0.486701,0.484353,0.421628,0.362837,0.0,1.0,68663.19,0
pareto_132,0001002001,D-小型;G-中型;J-小型,3,68.0,0.486701,0.486701,0.484353,0.421628,0.362837,0.0,1.0,68663.19,0
pareto_133,2000002000,A-中型;G-中型,2,64.0,0.485462,0.485462,0.484353,0.413167,0.317365,0.0,1.0,-124346.17,0
pareto_134,0001012102,D-小型;F-小型;G-中型;H-小型;J-中型,5,118.0,0.485226,0.485226,0.484353,0.478659,0.425475,0.6,1.0,888768.85,0
pareto_135,0101002102,B-小型;D-小型;G-中型;H-小型;J-中型,5,118.0,0.485226,0.485226,0.484353,0.478659,0.425475,0.6,1.0,888768.85,0
pareto_136,1000012012,A-小型;F-小型;G-中型;I-小型;J-中型,5,118.0,0.485226,0.485226,0.484353,0.478659,0.425475,0.6,1.0,888768.85,0
pareto_137,1010002012,A-小型;C-小型;G-中型;I-小型;J-中型,5,118.0,0.485226,0.485226,0.484353,0.478659,0.425475,0.6,1.0,888768.85,0
pareto_138,0201012100,B-中型;D-小型;F-小型;G-中型;H-小型,5,118.0,0.485226,0.485226,0.484353,0.476063,0.425475,0.6,1.0,760840.73,0
pareto_139,1200012010,A-小型;B-中型;F-小型;G-中型;I-小型,5,118.0,0.485226,0.485226,0.484353,0.476063,0.425475,0.6,1.0,760840.73,0
pareto_140,1201002100,A-小型;B-中型;D-小型;G-中型;H-小型,5,118.0,0.485226,0.485226,0.484353,0.476063,0.425475,0.6,1.0,760840.73,0
pareto_141,1210002010,A-小型;B-中型;C-小型;G-中型;I-小型,5,118.0,0.485226,0.485226,0.484353,0.476063,0.425475,0.6,1.0,760840.73,0
pareto_142,0200002010,B-中型;G-中型;I-小型,3,82.0,0.485226,0.485226,0.484353,0.476063,0.425475,0.333333,1.0,2238840.73,0
pareto_143,1000012210,A-小型;F-小型;G-中型;H-中型;I-小型,5,118.0,0.485226,0.485226,0.484353,0.475082,0.425475,0.6,1.0,711861.69,0
pareto_144,1001012200,A-小型;D-小型;F-小型;G-中型;H-中型,5,118.0,0.485226,0.485226,0.484353,0.475082,0.425475,0.6,1.0,711861.69,0
pareto_145,1010002210,A-小型;C-小型;G-中型;H-中型;I-小型,5,118.0,0.485226,0.485226,0.484353,0.475082,0.425475,0.6,1.0,711861.69,0
pareto_146,0001002200,D-小型;G-中型;H-中型,3,82.0,0.485226,0.485226,0.484353,0.475082,0.425475,0.333333,1.0,2189861.69,0
pareto_147,1002012010,A-小型;D-中型;F-小型;G-中型;I-小型,5,118.0,0.485226,0.485226,0.484353,0.474045,0.425475,0.6,1.0,660799.27,0
pareto_148,1012002010,A-小型;C-小型;D-中型;G-中型;I-小型,5,118.0,0.485226,0.485226,0.484353,0.474045,0.425475,0.6,1.0,660799.27,0
pareto_149,0000002002,G-中型;J-中型,2,64.0,0.485226,0.485226,0.484353,0.420537,0.373376,0.0,1.0,237740.33,1
pareto_150,0200002000,B-中型;G-中型,2,64.0,0.485226,0.485226,0.484353,0.417941,0.373376,0.0,1.0,109812.21,1
pareto_151,0000002200,G-中型;H-中型,2,64.0,0.485226,0.485226,0.484353,0.41696,0.373376,0.0,1.0,60833.17,0
pareto_152,0002002000,D-中型;G-中型,2,64.0,0.485226,0.485226,0.484353,0.415923,0.373376,0.0,1.0,9770.75,0
pareto_153,0011010102,C-小型;D-小型;F-小型;H-小型;J-中型,5,104.0,0.484966,0.484966,0.484353,0.479072,0.431167,0.4,1.0,1427532.6,0
pareto_154,0010010002,C-小型;F-小型;J-中型,3,68.0,0.484966,0.484966,0.484353,0.420949,0.378371,0.0,1.0,37201.85,0
pareto_155,0000010003,F-小型;J-大型,2,63.0,0.484472,0.484472,0.484353,0.415375,0.336201,0.0,1.0,-17809.04,0
pareto_156,0003010000,D-大型;F-小型,2,63.0,0.484472,0.484472,0.484353,0.410941,0.336201,0.0,1.0,-236872.12,0
pareto_157,0300010000,B-大型;F-小型,2,63.0,0.484472,0.484472,0.484353,0.409463,0.336201,0.0,1.0,-309585.58,0
pareto_158,0000300011,E-大型;I-小型;J-小型,3,81.0,0.484351,0.484351,0.484353,0.458018,0.413781,0.333333,1.0,1351349.65,0
pareto_159,0100300010,B-小型;E-大型;I-小型,3,81.0,0.484351,0.484351,0.484353,0.456036,0.413781,0.333333,1.0,1253464.15,0
pareto_160,0000310001,E-大型;F-小型;J-小型,3,81.0,0.484351,0.484351,0.484353,0.453659,0.413781,0.333333,1.0,1136194.09,0
pareto_161,0000300110,E-大型;H-小型;I-小型,3,81.0,0.484351,0.484351,0.484353,0.452954,0.413781,0.333333,1.0,1101304.79,0
pareto_162,0001300010,D-小型;E-大型;I-小型,3,81.0,0.484351,0.484351,0.484353,0.452954,0.413781,0.333333,1.0,1101304.79,0
pareto_163,1000310000,A-小型;E-大型;F-小型,3,81.0,0.484351,0.484351,0.484353,0.452228,0.413781,0.333333,1.0,1065766.41,0
pareto_164,0100310000,B-小型;E-大型;F-小型,3,81.0,0.484351,0.484351,0.484353,0.451677,0.413781,0.333333,1.0,1038308.59,0
pareto_165,0000310100,E-大型;F-小型;H-小型,3,81.0,0.484351,0.484351,0.484353,0.448595,0.413781,0.333333,1.0,886149.23,0
pareto_166,0001310000,D-小型;E-大型;F-小型,3,81.0,0.484351,0.484351,0.484353,0.448595,0.413781,0.333333,1.0,886149.23,0
pareto_167,1000000030,A-小型;I-大型,2,63.0,0.484351,0.484351,0.484353,0.412528,0.359809,0.0,1.0,-155112.34,0
pareto_168,0001210102,D-小型;E-中型;F-小型;H-小型;J-中型,5,118.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.6,1.0,758481.47,0
pareto_169,0101200102,B-小型;D-小型;E-中型;H-小型;J-中型,5,118.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.6,1.0,758481.47,0
pareto_170,1000210012,A-小型;E-中型;F-小型;I-小型;J-中型,5,118.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.6,1.0,758481.47,0
pareto_171,1000210102,A-小型;E-中型;F-小型;H-小型;J-中型,5,118.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.6,1.0,758481.47,0
pareto_172,1001200102,A-小型;D-小型;E-中型;H-小型;J-中型,5,118.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.6,1.0,758481.47,0
pareto_173,1001210002,A-小型;D-小型;E-中型;F-小型;J-中型,5,118.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.6,1.0,758481.47,0
pareto_174,1010200012,A-小型;C-小型;E-中型;I-小型;J-中型,5,118.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.6,1.0,758481.47,0
pareto_175,0000210102,E-中型;F-小型;H-小型;J-中型,4,100.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.5,1.0,1497481.47,0
pareto_176,0001200102,D-小型;E-中型;H-小型;J-中型,4,100.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.5,1.0,1497481.47,0
pareto_177,0001210002,D-小型;E-中型;F-小型;J-中型,4,100.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.5,1.0,1497481.47,0
pareto_178,0100200012,B-小型;E-中型;I-小型;J-中型,4,100.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.5,1.0,1497481.47,0
pareto_179,0100210002,B-小型;E-中型;F-小型;J-中型,4,100.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.5,1.0,1497481.47,0
pareto_180,1000200012,A-小型;E-中型;I-小型;J-中型,4,100.0,0.483694,0.483694,0.484353,0.47597,0.431167,0.5,1.0,1497481.47,0
pareto_181,0121000102,B-小型;C-中型;D-小型;H-小型;J-中型,5,118.0,0.483694,0.483694,0.484353,0.474549,0.431167,0.6,1.0,690440.47,0
pareto_182,1021000102,A-小型;C-中型;D-小型;H-小型;J-中型,5,118.0,0.483694,0.483694,0.484353,0.474549,0.431167,0.6,1.0,690440.47,0
pareto_183,0021000102,C-中型;D-小型;H-小型;J-中型,4,100.0,0.483694,0.483694,0.484353,0.474549,0.431167,0.5,1.0,1429440.47,0
