scenario,candidate_id,price_scheme_detail,subsidy_policy,lambda,baseline_converged_lambda_1_no_damping,converged,iterations,max_abs_delta,average_service_access_performance,minimum_service_access_performance,annual_net_profit,profit_rate,profit_compliant,aggregate_profit_rate_compliant,station_profit_compliant,feasible_station_count,joint_feasible_solution_exists
S0_baseline,S0_baseline_P007_SB0.0,C:alpha=1.6;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P007_SB0.0,C:alpha=1.6;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P008_SB0.0,C:alpha=1.8;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P008_SB0.0,C:alpha=1.8;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P008_SB0.0,C:alpha=1.8;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P008_SB0.0,C:alpha=1.8;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P008_SB0.0,C:alpha=1.8;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P009_SB0.0,C:alpha=2.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P009_SB0.0,C:alpha=2.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P009_SB0.0,C:alpha=2.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P009_SB0.0,C:alpha=2.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P009_SB0.0,C:alpha=2.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P010_SB0.0,C:alpha=1.0;E:alpha=1.1;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,0,0,30,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P010_SB0.0,C:alpha=1.0;E:alpha=1.1;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,0,0,30,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P010_SB0.0,C:alpha=1.0;E:alpha=1.1;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,0,0,30,0.92111782,0.736964,0.111573,232448.98,0.005929,0,1,0,1,0
S0_baseline,S0_baseline_P010_SB0.0,C:alpha=1.0;E:alpha=1.1;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,0,0,30,0.92111782,0.736964,0.111573,232448.98,0.005929,0,1,0,1,0
S0_baseline,S0_baseline_P010_SB0.0,C:alpha=1.0;E:alpha=1.1;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,0,0,30,0.92111782,0.736964,0.111573,232448.98,0.005929,0,1,0,1,0
S0_baseline,S0_baseline_P011_SB0.0,C:alpha=1.0;E:alpha=1.2;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P011_SB0.0,C:alpha=1.0;E:alpha=1.2;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P011_SB0.0,C:alpha=1.0;E:alpha=1.2;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P011_SB0.0,C:alpha=1.0;E:alpha=1.2;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P011_SB0.0,C:alpha=1.0;E:alpha=1.2;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P012_SB0.0,C:alpha=1.0;E:alpha=1.3;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P012_SB0.0,C:alpha=1.0;E:alpha=1.3;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P012_SB0.0,C:alpha=1.0;E:alpha=1.3;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P012_SB0.0,C:alpha=1.0;E:alpha=1.3;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P012_SB0.0,C:alpha=1.0;E:alpha=1.3;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P013_SB0.0,C:alpha=1.0;E:alpha=1.4;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P013_SB0.0,C:alpha=1.0;E:alpha=1.4;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P013_SB0.0,C:alpha=1.0;E:alpha=1.4;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P013_SB0.0,C:alpha=1.0;E:alpha=1.4;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P013_SB0.0,C:alpha=1.0;E:alpha=1.4;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P014_SB0.0,C:alpha=1.0;E:alpha=1.5;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P014_SB0.0,C:alpha=1.0;E:alpha=1.5;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P014_SB0.0,C:alpha=1.0;E:alpha=1.5;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P014_SB0.0,C:alpha=1.0;E:alpha=1.5;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P014_SB0.0,C:alpha=1.0;E:alpha=1.5;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P015_SB0.0,C:alpha=1.0;E:alpha=1.6;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P015_SB0.0,C:alpha=1.0;E:alpha=1.6;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P015_SB0.0,C:alpha=1.0;E:alpha=1.6;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P015_SB0.0,C:alpha=1.0;E:alpha=1.6;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P015_SB0.0,C:alpha=1.0;E:alpha=1.6;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P016_SB0.0,C:alpha=1.0;E:alpha=1.8;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P016_SB0.0,C:alpha=1.0;E:alpha=1.8;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P016_SB0.0,C:alpha=1.0;E:alpha=1.8;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P016_SB0.0,C:alpha=1.0;E:alpha=1.8;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P016_SB0.0,C:alpha=1.0;E:alpha=1.8;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P017_SB0.0,C:alpha=1.0;E:alpha=2.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P017_SB0.0,C:alpha=1.0;E:alpha=2.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P017_SB0.0,C:alpha=1.0;E:alpha=2.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P017_SB0.0,C:alpha=1.0;E:alpha=2.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P017_SB0.0,C:alpha=1.0;E:alpha=2.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.92111782,0.637058,0.0,-211541.55,-0.006067,0,0,0,3,0
S0_baseline,S0_baseline_P018_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.1;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,0,0,30,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P018_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.1;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,0,0,30,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P018_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.1;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,0,0,30,0.959,0.729449,0.132082,-199713.97,-0.005026,0,0,0,1,0
S0_baseline,S0_baseline_P018_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.1;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,0,0,30,0.959,0.729449,0.132082,-199713.97,-0.005026,0,0,0,1,0
S0_baseline,S0_baseline_P018_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.1;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,0,0,30,0.959,0.729449,0.132082,-199713.97,-0.005026,0,0,0,1,0
S0_baseline,S0_baseline_P019_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.2;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P019_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.2;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P019_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.2;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P019_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.2;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P019_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.2;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P020_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.3;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P020_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.3;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P020_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.3;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P020_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.3;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P020_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.3;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P021_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.4;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P021_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.4;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
S0_baseline,S0_baseline_P021_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.4;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.959,0.636977,0.055539,-285730.9,-0.008201,0,0,0,3,0
