scenario,epsilon,selection_rule,feasible_count,best_scheme_id,average_service_access_performance,minimum_service_access_performance,annual_net_profit,annual_total_cost,profit_rate,profit_compliant,aggregate_profit_rate_compliant,station_profit_compliant,feasible_station_count,fiscal_gap,annual_government_subsidy,station_plan,alpha_by_station,converged,iterations
S0_baseline,0.5,none,0,,,,,,,,NA,NA,,NA,,C-小型;E-小型;G-小型;I-小型;J-大型,,,
S0_baseline,0.6,none,0,,,,,,,,NA,NA,,NA,,C-小型;E-小型;G-小型;I-小型;J-大型,,,
S0_baseline,0.7,none,0,,,,,,,,NA,NA,,NA,,C-小型;E-小型;G-小型;I-小型;J-大型,,,
S0_baseline,0.8,none,0,,,,,,,,NA,NA,,NA,,C-小型;E-小型;G-小型;I-小型;J-大型,,,
S4_budget_140,0.1,max_annual_net_profit,152,S4_budget_140_max_annual_net_profit_0.1,0.791146,0.395308,6299814.03,43940799.03,0.14337,0,0,0,1,2784550.1,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.0;G:alpha=1.0;J:alpha=2.0,0,30
S4_budget_140,0.1,closest_profit_rate_band,152,S4_budget_140_closest_profit_rate_band_0.1,0.81048,0.645664,3612825.42,45933315.46,0.078654,0,1,0,1,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.3;C:alpha=1.8;G:alpha=1.0;J:alpha=1.0,0,30
S4_budget_140,0.1,min_fiscal_gap,152,S4_budget_140_min_fiscal_gap_0.1,0.863588,0.822992,797906.93,45773297.11,0.017432,0,1,0,3,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.1;G:alpha=1.0;J:alpha=1.0,1,3
S4_budget_140,0.2,max_annual_net_profit,129,S4_budget_140_max_annual_net_profit_0.2,0.791146,0.395308,6299814.03,43940799.03,0.14337,0,0,0,1,2784550.1,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.0;G:alpha=1.0;J:alpha=2.0,0,30
S4_budget_140,0.2,closest_profit_rate_band,129,S4_budget_140_closest_profit_rate_band_0.2,0.81048,0.645664,3612825.42,45933315.46,0.078654,0,1,0,1,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.3;C:alpha=1.8;G:alpha=1.0;J:alpha=1.0,0,30
S4_budget_140,0.2,min_fiscal_gap,129,S4_budget_140_min_fiscal_gap_0.2,0.863588,0.822992,797906.93,45773297.11,0.017432,0,1,0,3,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.1;G:alpha=1.0;J:alpha=1.0,1,3
S4_budget_140,0.3,max_annual_net_profit,129,S4_budget_140_max_annual_net_profit_0.3,0.791146,0.395308,6299814.03,43940799.03,0.14337,0,0,0,1,2784550.1,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.0;G:alpha=1.0;J:alpha=2.0,0,30
S4_budget_140,0.3,closest_profit_rate_band,129,S4_budget_140_closest_profit_rate_band_0.3,0.81048,0.645664,3612825.42,45933315.46,0.078654,0,1,0,1,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.3;C:alpha=1.8;G:alpha=1.0;J:alpha=1.0,0,30
S4_budget_140,0.3,min_fiscal_gap,129,S4_budget_140_min_fiscal_gap_0.3,0.863588,0.822992,797906.93,45773297.11,0.017432,0,1,0,3,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.1;G:alpha=1.0;J:alpha=1.0,1,3
S4_budget_140,0.4,max_annual_net_profit,122,S4_budget_140_max_annual_net_profit_0.4,0.796601,0.459411,6123155.96,43620130.84,0.140375,0,0,0,1,2633545.5,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.0;G:alpha=1.0;J:alpha=2.0,0,30
S4_budget_140,0.4,closest_profit_rate_band,122,S4_budget_140_closest_profit_rate_band_0.4,0.81048,0.645664,3612825.42,45933315.46,0.078654,0,1,0,1,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.3;C:alpha=1.8;G:alpha=1.0;J:alpha=1.0,0,30
S4_budget_140,0.4,min_fiscal_gap,122,S4_budget_140_min_fiscal_gap_0.4,0.863588,0.822992,797906.93,45773297.11,0.017432,0,1,0,3,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.1;G:alpha=1.0;J:alpha=1.0,1,3
S4_budget_140,0.5,max_annual_net_profit,115,S4_budget_140_max_annual_net_profit_0.5,0.802011,0.523294,5924932.84,43257417.52,0.136969,0,0,0,1,2464339.44,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.0;G:alpha=1.0;J:alpha=2.0,0,30
S4_budget_140,0.5,closest_profit_rate_band,115,S4_budget_140_closest_profit_rate_band_0.5,0.81048,0.645664,3612825.42,45933315.46,0.078654,0,1,0,1,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.3;C:alpha=1.8;G:alpha=1.0;J:alpha=1.0,0,30
S4_budget_140,0.5,min_fiscal_gap,115,S4_budget_140_min_fiscal_gap_0.5,0.863588,0.822992,797906.93,45773297.11,0.017432,0,1,0,3,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.1;G:alpha=1.0;J:alpha=1.0,1,3
S4_budget_140,0.6,max_annual_net_profit,108,S4_budget_140_max_annual_net_profit_0.6,0.808321,0.645576,5187706.3,46472671.25,0.111629,0,0,0,1,1469892.6,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.3;C:alpha=2.0;G:alpha=1.0;J:alpha=1.0,0,30
S4_budget_140,0.6,closest_profit_rate_band,108,S4_budget_140_closest_profit_rate_band_0.6,0.81048,0.645664,3612825.42,45933315.46,0.078654,0,1,0,1,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.3;C:alpha=1.8;G:alpha=1.0;J:alpha=1.0,0,30
S4_budget_140,0.6,min_fiscal_gap,108,S4_budget_140_min_fiscal_gap_0.6,0.863588,0.822992,797906.93,45773297.11,0.017432,0,1,0,3,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.1;G:alpha=1.0;J:alpha=1.0,1,3
S4_budget_140,0.7,max_annual_net_profit,73,S4_budget_140_max_annual_net_profit_0.7,0.836105,0.728435,4924322.12,46472671.25,0.105962,0,0,0,1,1206508.42,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=2.0;G:alpha=1.0;J:alpha=1.0,0,30
S4_budget_140,0.7,closest_profit_rate_band,73,S4_budget_140_closest_profit_rate_band_0.7,0.838553,0.728268,3516318.16,45933315.46,0.076553,0,1,0,1,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.8;G:alpha=1.0;J:alpha=1.0,0,30
S4_budget_140,0.7,min_fiscal_gap,73,S4_budget_140_min_fiscal_gap_0.7,0.863588,0.822992,797906.93,45773297.11,0.017432,0,1,0,3,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.1;G:alpha=1.0;J:alpha=1.0,1,3
S4_budget_140,0.8,max_annual_net_profit,12,S4_budget_140_max_annual_net_profit_0.8,0.880179,0.814445,2507603.39,45888774.28,0.054645,0,1,0,3,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.0;G:alpha=1.1;J:alpha=1.0,0,30
S4_budget_140,0.8,closest_profit_rate_band,12,S4_budget_140_closest_profit_rate_band_0.8,0.880179,0.814445,2507603.39,45888774.28,0.054645,0,1,0,3,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.0;G:alpha=1.1;J:alpha=1.0,0,30
S4_budget_140,0.8,min_fiscal_gap,12,S4_budget_140_min_fiscal_gap_0.8,0.863588,0.822992,797906.93,45773297.11,0.017432,0,1,0,3,0.0,2920000.0,A-小型;C-中型;G-大型;J-大型,A:alpha=1.0;C:alpha=1.1;G:alpha=1.0;J:alpha=1.0,1,3
