scenario,station,scale,selected_prices_by_service,selected_price_satisfaction_by_service,station_average_price_satisfaction,station_average_service_satisfaction,station_minimum_service_access_performance,annual_revenue,annual_government_subsidy,annual_direct_cost,annual_fixed_cost,annual_depreciation,annual_total_cost,annual_net_profit,profit_rate,profit_compliant,break_even_gap,over_8pct_excess,candidate_rank_within_station
S0,A,大型,助餐:12.00|日间照料:20.00|上门护理:54.00|康复理疗:30.80|助浴:45.00|紧急救助:0.00,助餐:0.75|日间照料:1.00|上门护理:0.60|康复理疗:0.90|助浴:0.60|紧急救助:1.00,0.808333,0.738167,0.738167,16780978.35,949000.0,15419742.8,1606000.0,22500.0,17048242.8,681735.55,0.039989,1,0.0,0.0,13
S0,A,大型,助餐:10.00|日间照料:24.00|上门护理:54.00|康复理疗:36.40|助浴:45.00|紧急救助:0.00,助餐:1.00|日间照料:0.75|上门护理:0.60|康复理疗:0.60|助浴:0.60|紧急救助:1.00,0.758333,0.713167,0.713167,16508256.9,949000.0,15157044.42,1606000.0,22500.0,16785544.42,671712.47,0.040017,1,0.0,0.0,14
S0,A,大型,助餐:12.00|日间照料:22.00|上门护理:30.00|康复理疗:33.60|助浴:25.00|紧急救助:0.00,助餐:0.75|日间照料:0.90|上门护理:1.00|康复理疗:0.75|助浴:1.00|紧急救助:1.00,0.9,0.784,0.784,18284724.93,949000.0,16865785.13,1606000.0,22500.0,18494285.13,739439.8,0.039982,1,0.0,0.0,15
S0,A,大型,助餐:11.00|日间照料:24.00|上门护理:54.00|康复理疗:36.40|助浴:32.50|紧急救助:0.00,助餐:0.90|日间照料:0.75|上门护理:0.60|康复理疗:0.60|助浴:0.60|紧急救助:1.00,0.741667,0.704833,0.704833,16584450.62,949000.0,15230190.24,1606000.0,22500.0,16858690.24,674760.37,0.040024,1,0.0,0.0,16
S0,A,大型,助餐:13.00|日间照料:22.00|上门护理:30.00|康复理疗:42.00|助浴:37.50|紧急救助:0.00,助餐:0.60|日间照料:0.90|上门护理:1.00|康复理疗:0.60|助浴:0.60|紧急救助:1.00,0.783333,0.725667,0.725667,17533755.6,949000.0,16142846.89,1606000.0,22500.0,17771346.89,711408.71,0.040031,1,0.0,0.0,17
S0,A,大型,助餐:10.00|日间照料:26.00|上门护理:36.00|康复理疗:30.80|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:0.60|上门护理:0.75|康复理疗:0.90|助浴:0.90|紧急救助:1.00,0.858333,0.763167,0.763167,17765543.96,949000.0,16366829.32,1606000.0,22500.0,17995329.32,719214.64,0.039967,1,0.0,0.0,18
S0,A,大型,助餐:10.00|日间照料:24.00|上门护理:30.00|康复理疗:42.00|助浴:50.00|紧急救助:0.00,助餐:1.00|日间照料:0.75|上门护理:1.00|康复理疗:0.60|助浴:0.60|紧急救助:1.00,0.825,0.7465,0.7465,17507850.9,949000.0,16119111.52,1606000.0,22500.0,17747611.52,709239.38,0.039963,1,0.0,0.0,19
S0,A,大型,助餐:10.00|日间照料:22.00|上门护理:39.00|康复理疗:50.40|助浴:45.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:0.60|康复理疗:0.60|助浴:0.60|紧急救助:1.00,0.783333,0.725667,0.725667,17035072.73,949000.0,15664507.91,1606000.0,22500.0,17293007.91,691064.82,0.039962,1,0.0,0.0,20
S0,A,大型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:30.80|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:0.90|助浴:0.90|紧急救助:1.00,0.95,0.809,0.809,18126516.99,949000.0,17279099.18,1606000.0,22500.0,18907599.18,167917.81,0.008881,1,0.0,0.0,21
S0,A,大型,助餐:10.00|日间照料:22.00|上门护理:33.00|康复理疗:28.00|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:0.90|康复理疗:1.00|助浴:0.90|紧急救助:1.00,0.95,0.809,0.809,18002972.53,949000.0,17175607.91,1606000.0,22500.0,18804107.91,147864.62,0.007863,1,0.0,0.0,22
S0,A,大型,助餐:10.00|日间照料:22.00|上门护理:33.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:0.90|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.95,0.809,0.809,18126516.99,949000.0,17119144.23,1606000.0,22500.0,18747644.23,327872.76,0.017489,1,0.0,0.0,23
S0,A,大型,助餐:11.00|日间照料:20.00|上门护理:30.00|康复理疗:30.80|助浴:27.50|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:1.00|康复理疗:0.90|助浴:0.90|紧急救助:1.00,0.95,0.809,0.809,18082393.97,949000.0,17373265.52,1606000.0,22500.0,19001765.52,29628.45,0.001559,1,0.0,0.0,24
S0,A,大型,助餐:11.00|日间照料:20.00|上门护理:33.00|康复理疗:28.00|助浴:27.50|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:0.90|康复理疗:1.00|助浴:0.90|紧急救助:1.00,0.95,0.809,0.809,17958849.51,949000.0,17267606.6,1606000.0,22500.0,18896106.6,11742.9,0.000621,1,0.0,0.0,25
S0,A,大型,助餐:11.00|日间照料:20.00|上门护理:33.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:0.90|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.95,0.809,0.809,18082393.97,949000.0,17210017.25,1606000.0,22500.0,18838517.25,192876.72,0.010238,1,0.0,0.0,26
S0,A,大型,助餐:11.00|日间照料:22.00|上门护理:30.00|康复理疗:28.00|助浴:27.50|紧急救助:0.00,助餐:0.90|日间照料:0.90|上门护理:1.00|康复理疗:1.00|助浴:0.90|紧急救助:1.00,0.95,0.809,0.809,18311833.68,949000.0,17212843.14,1606000.0,22500.0,18841343.14,419490.54,0.022264,1,0.0,0.0,27
S0,A,大型,助餐:11.00|日间照料:22.00|上门护理:30.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:0.90|上门护理:1.00|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.95,0.809,0.809,18435378.14,949000.0,17156026.09,1606000.0,22500.0,18784526.09,599852.06,0.031933,1,0.0,0.0,28
S0,A,大型,助餐:11.00|日间照料:22.00|上门护理:33.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:0.90|上门护理:0.90|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.95,0.809,0.809,18311833.68,949000.0,17055012.22,1606000.0,22500.0,18683512.22,577321.47,0.0309,1,0.0,0.0,29
S0,A,大型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:33.60|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:0.75|助浴:1.00|紧急救助:1.00,0.941667,0.804833,0.804833,18156066.49,949000.0,17221411.81,1606000.0,22500.0,18849911.81,255154.68,0.013536,1,0.0,0.0,30
S0,C,小型,助餐:10.00|日间照料:20.00|上门护理:30.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:1.00|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.983333,0.813889,0.813889,36268177.74,365000.0,35761891.43,730000.0,9000.0,36500891.43,132286.31,0.003624,1,0.0,0.0,1
S0,C,小型,助餐:10.00|日间照料:20.00|上门护理:33.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:0.90|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.983333,0.813889,0.813889,36057980.22,365000.0,35567042.06,730000.0,9000.0,36306042.06,116938.16,0.003221,1,0.0,0.0,2
S0,C,小型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.983333,0.813889,0.813889,36819372.43,365000.0,35500905.93,730000.0,9000.0,36239905.93,944466.5,0.026062,1,0.0,0.0,3
S0,C,小型,助餐:11.00|日间照料:20.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.983333,0.813889,0.813889,36687309.49,365000.0,35661853.9,730000.0,9000.0,36400853.9,651455.58,0.017897,1,0.0,0.0,4
S0,C,小型,助餐:10.00|日间照料:20.00|上门护理:33.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:0.90|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.966667,0.805556,0.805556,35994194.44,365000.0,35366447.14,730000.0,9000.0,36105447.14,253747.3,0.007028,1,0.0,0.0,5
S0,C,小型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:28.00|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:1.00|助浴:0.90|紧急救助:1.00,0.966667,0.805556,0.805556,36469427.61,365000.0,35392636.14,730000.0,9000.0,36131636.14,702791.47,0.019451,1,0.0,0.0,6
S0,C,小型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.966667,0.805556,0.805556,36747790.83,365000.0,35302030.01,730000.0,9000.0,36041030.01,1071760.81,0.029737,1,0.0,0.0,7
S0,C,小型,助餐:10.00|日间照料:22.00|上门护理:33.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:0.90|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.966667,0.805556,0.805556,36539745.5,365000.0,35118427.9,730000.0,9000.0,35857427.9,1047317.6,0.029208,1,0.0,0.0,8
S0,C,小型,助餐:11.00|日间照料:20.00|上门护理:30.00|康复理疗:28.00|助浴:27.50|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:1.00|康复理疗:1.00|助浴:0.90|紧急救助:1.00,0.966667,0.805556,0.805556,36338716.85,365000.0,35551237.78,730000.0,9000.0,36290237.78,413479.07,0.011394,1,0.0,0.0,9
S0,C,小型,助餐:11.00|日间照料:20.00|上门护理:30.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:1.00|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.966667,0.805556,0.805556,36617080.07,365000.0,35458728.33,730000.0,9000.0,36197728.33,784351.73,0.021669,1,0.0,0.0,10
S0,C,小型,助餐:10.00|日间照料:24.00|上门护理:36.00|康复理疗:30.80|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:0.75|上门护理:0.75|康复理疗:0.90|助浴:0.90|紧急救助:1.00,0.883333,0.763889,0.763889,35726018.38,365000.0,33964421.3,730000.0,9000.0,34703421.3,1387597.07,0.039984,1,0.0,0.0,11
S0,C,小型,助餐:13.00|日间照料:26.00|上门护理:39.00|康复理疗:33.60|助浴:32.50|紧急救助:0.00,助餐:0.60|日间照料:0.60|上门护理:0.60|康复理疗:0.75|助浴:0.60|紧急救助:1.00,0.691667,0.668056,0.668056,33581924.86,365000.0,31901275.07,730000.0,9000.0,32640275.07,1306649.78,0.040032,1,0.0,0.0,12
S0,C,小型,助餐:10.00|日间照料:26.00|上门护理:33.00|康复理疗:36.40|助浴:45.00|紧急救助:0.00,助餐:1.00|日间照料:0.60|上门护理:0.90|康复理疗:0.60|助浴:0.60|紧急救助:1.00,0.783333,0.713889,0.713889,34475594.36,365000.0,32763162.04,730000.0,9000.0,33502162.04,1338432.32,0.039951,1,0.0,0.0,13
S0,C,小型,助餐:11.00|日间照料:24.00|上门护理:36.00|康复理疗:28.00|助浴:30.00|紧急救助:0.00,助餐:0.90|日间照料:0.75|上门护理:0.75|康复理疗:1.00|助浴:0.75|紧急救助:1.00,0.858333,0.751389,0.751389,35509020.16,365000.0,33757133.13,730000.0,9000.0,34496133.13,1377887.03,0.039943,1,0.0,0.0,14
S0,C,小型,助餐:13.00|日间照料:22.00|上门护理:39.00|康复理疗:36.40|助浴:27.50|紧急救助:0.00,助餐:0.60|日间照料:0.90|上门护理:0.60|康复理疗:0.60|助浴:0.90|紧急救助:1.00,0.766667,0.705556,0.705556,34456074.59,365000.0,32740964.2,730000.0,9000.0,33479964.2,1341110.39,0.040057,1,0.0,0.0,15
S0,C,小型,助餐:11.00|日间照料:22.00|上门护理:30.00|康复理疗:42.00|助浴:37.50|紧急救助:0.00,助餐:0.90|日间照料:0.90|上门护理:1.00|康复理疗:0.60|助浴:0.60|紧急救助:1.00,0.833333,0.738889,0.738889,35410224.28,365000.0,33662649.32,730000.0,9000.0,34401649.32,1373574.96,0.039928,1,0.0,0.0,16
S0,C,小型,助餐:10.00|日间照料:22.00|上门护理:54.00|康复理疗:36.40|助浴:37.50|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:0.60|康复理疗:0.60|助浴:0.60|紧急救助:1.00,0.783333,0.713889,0.713889,33235780.81,365000.0,31571719.6,730000.0,9000.0,32310719.6,1290061.21,0.039927,1,0.0,0.0,17
S0,C,小型,助餐:11.00|日间照料:22.00|上门护理:30.00|康复理疗:30.80|助浴:27.50|紧急救助:0.00,助餐:0.90|日间照料:0.90|上门护理:1.00|康复理疗:0.90|助浴:0.90|紧急救助:1.00,0.933333,0.788889,0.788889,36701222.99,365000.0,34898169.0,730000.0,9000.0,35637169.0,1429053.99,0.0401,1,0.0,0.0,18
S0,C,小型,助餐:11.00|日间照料:22.00|上门护理:33.00|康复理疗:42.00|助浴:37.50|紧急救助:0.00,助餐:0.90|日间照料:0.90|上门护理:0.90|康复理疗:0.60|助浴:0.60|紧急救助:1.00,0.816667,0.730556,0.730556,35010860.85,365000.0,33279915.29,730000.0,9000.0,34018915.29,1356945.55,0.039888,1,0.0,0.0,19
S0,C,小型,助餐:12.00|日间照料:22.00|上门护理:30.00|康复理疗:28.00|助浴:45.00|紧急救助:0.00,助餐:0.75|日间照料:0.90|上门护理:1.00|康复理疗:1.00|助浴:0.60|紧急救助:1.00,0.875,0.759722,0.759722,35794664.43,365000.0,34033784.62,730000.0,9000.0,34772784.62,1386879.81,0.039884,1,0.0,0.0,20
S0,C,小型,助餐:11.00|日间照料:20.00|上门护理:33.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:0.90|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.966667,0.805556,0.805556,36409034.74,365000.0,35271168.03,730000.0,9000.0,36010168.03,763866.7,0.021213,1,0.0,0.0,21
S0,C,小型,助餐:11.00|日间照料:22.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:0.90|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.966667,0.805556,0.805556,37162631.12,365000.0,35208054.97,730000.0,9000.0,35947054.97,1580576.16,0.04397,1,0.0,0.0,22
S0,C,小型,助餐:10.00|日间照料:20.00|上门护理:30.00|康复理疗:33.60|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:1.00|康复理疗:0.75|助浴:1.00|紧急救助:1.00,0.958333,0.801389,0.801389,36014986.81,365000.0,35556118.46,730000.0,9000.0,36295118.46,84868.35,0.002338,1,0.0,0.0,23
S0,C,小型,助餐:10.00|日间照料:20.00|上门护理:36.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:0.75|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.958333,0.801389,0.801389,35601048.34,365000.0,35181833.84,730000.0,9000.0,35920833.84,45214.5,0.001259,1,0.0,0.0,24
S0,C,小型,助餐:10.00|日间照料:24.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.75|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.958333,0.801389,0.801389,37095519.8,365000.0,35051846.14,730000.0,9000.0,35790846.14,1669673.66,0.046651,1,0.0,0.0,25
S0,C,小型,助餐:12.00|日间照料:20.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:0.75|日间照料:1.00|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.958333,0.801389,0.801389,36840375.95,365000.0,35362845.75,730000.0,9000.0,36101845.75,1103530.2,0.030567,1,0.0,0.0,26
S0,C,小型,助餐:10.00|日间照料:20.00|上门护理:33.00|康复理疗:30.80|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:0.90|康复理疗:0.90|助浴:0.90|紧急救助:1.00,0.95,0.797222,0.797222,35648606.27,365000.0,35260266.9,730000.0,9000.0,35999266.9,14339.37,0.000398,1,0.0,0.0,27
S0,C,小型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:30.80|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:0.90|助浴:0.90|紧急救助:1.00,0.95,0.797222,0.797222,36394406.83,365000.0,35196595.62,730000.0,9000.0,35935595.62,823811.22,0.022925,1,0.0,0.0,28
S0,C,小型,助餐:10.00|日间照料:22.00|上门护理:33.00|康复理疗:28.00|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:0.90|康复理疗:1.00|助浴:0.90|紧急救助:1.00,0.95,0.797222,0.797222,36188513.69,365000.0,35015674.52,730000.0,9000.0,35754674.52,798839.18,0.022342,1,0.0,0.0,29
S0,C,小型,助餐:10.00|日间照料:22.00|上门护理:33.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:0.90|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.95,0.797222,0.797222,36457137.47,365000.0,34923017.12,730000.0,9000.0,35662017.12,1160120.35,0.032531,1,0.0,0.0,30
S0,E,大型,助餐:10.00|日间照料:20.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,1.0,0.83625,0.83625,33338461.39,949000.0,32457137.59,1606000.0,22500.0,34085637.59,201823.79,0.005921,1,0.0,0.0,1
S0,E,大型,助餐:10.00|日间照料:20.00|上门护理:30.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:1.00|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.983333,0.827917,0.827917,33300376.97,949000.0,32276780.73,1606000.0,22500.0,33905280.73,344096.25,0.010149,1,0.0,0.0,2
S0,E,大型,助餐:10.00|日间照料:20.00|上门护理:33.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:0.90|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.983333,0.827917,0.827917,33111123.95,949000.0,32104467.36,1606000.0,22500.0,33732967.36,327156.59,0.009698,1,0.0,0.0,3
S0,E,大型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.983333,0.827917,0.827917,33815446.68,949000.0,32049607.43,1606000.0,22500.0,33678107.43,1086339.26,0.032257,1,0.0,0.0,4
S0,E,大型,助餐:11.00|日间照料:20.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.983333,0.827917,0.827917,33689881.63,949000.0,32190872.57,1606000.0,22500.0,33819372.57,819509.06,0.024232,1,0.0,0.0,5
S0,E,大型,助餐:10.00|日间照料:20.00|上门护理:30.00|康复理疗:30.80|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:1.00|康复理疗:0.90|助浴:0.90|紧急救助:1.00,0.966667,0.819583,0.819583,32992710.82,949000.0,32178291.38,1606000.0,22500.0,33806791.38,134919.44,0.003991,1,0.0,0.0,6
S0,E,大型,助餐:10.00|日间照料:20.00|上门护理:33.00|康复理疗:28.00|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:0.90|康复理疗:1.00|助浴:0.90|紧急救助:1.00,0.966667,0.819583,0.819583,32805362.71,949000.0,32008578.11,1606000.0,22500.0,33637078.11,117284.6,0.003487,1,0.0,0.0,7
S0,E,大型,助餐:10.00|日间照料:20.00|上门护理:33.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:1.00|上门护理:0.90|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.966667,0.819583,0.819583,33064253.21,949000.0,31928990.76,1606000.0,22500.0,33557490.76,455762.45,0.013582,1,0.0,0.0,8
S0,E,大型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:28.00|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:1.00|助浴:0.90|紧急救助:1.00,0.966667,0.819583,0.819583,33502596.14,949000.0,31954361.71,1606000.0,22500.0,33582861.71,868734.43,0.025868,1,0.0,0.0,9
S0,E,大型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.966667,0.819583,0.819583,33761486.64,949000.0,31875556.74,1606000.0,22500.0,33504056.74,1206429.9,0.036008,1,0.0,0.0,10
S0,E,大型,助餐:10.00|日间照料:26.00|上门护理:33.00|康复理疗:28.00|助浴:32.50|紧急救助:0.00,助餐:1.00|日间照料:0.60|上门护理:0.90|康复理疗:1.00|助浴:0.60|紧急救助:1.00,0.85,0.76125,0.76125,32573844.31,949000.0,30603818.07,1606000.0,22500.0,32232318.07,1290526.24,0.040038,1,0.0,0.0,11
S0,E,大型,助餐:13.00|日间照料:22.00|上门护理:36.00|康复理疗:36.40|助浴:30.00|紧急救助:0.00,助餐:0.60|日间照料:0.90|上门护理:0.75|康复理疗:0.60|助浴:0.75|紧急救助:1.00,0.766667,0.719583,0.719583,31754500.25,949000.0,29815841.41,1606000.0,22500.0,31444341.41,1259158.83,0.040044,1,0.0,0.0,12
S0,E,大型,助餐:13.00|日间照料:20.00|上门护理:36.00|康复理疗:28.00|助浴:27.50|紧急救助:0.00,助餐:0.60|日间照料:1.00|上门护理:0.75|康复理疗:1.00|助浴:0.90|紧急救助:1.00,0.875,0.77375,0.77375,32851438.03,949000.0,30870449.83,1606000.0,22500.0,32498949.83,1301488.2,0.040047,1,0.0,0.0,13
